institution,elderate,city,street,numbers
Vilniaus rajono savivaldybė,,,,
Vilniaus rajono savivaldybė Avižienių seniūnija,,Aleksandravo kaimas,,
Vilniaus rajono savivaldybė Avižienių seniūnija,,Aukštadvario kaimas,,
Vilniaus rajono savivaldybė Avižienių seniūnija,,Aukštųjų Rusokų viensėdis,Kalno gatvė,
Vilniaus rajono savivaldybė Avižienių seniūnija,,Aukštųjų Rusokų viensėdis,Vakarinė gatvė,
Vilniaus rajono savivaldybė Avižienių seniūnija,,Avižienių kaimas,Avižų gatvė,
Vilniaus rajono savivaldybė Avižienių seniūnija,,Avižienių kaimas,Baseino gatvė,
Vilniaus rajono savivaldybė Avižienių seniūnija,,Avižienių kaimas,Braškyno gatvė,
Vilniaus rajono savivaldybė Avižienių seniūnija,,Avižienių kaimas,Darželio gatvė,
Vilniaus rajono savivaldybė Avižienių seniūnija,,Avižienių kaimas,Durpių gatvė,
Vilniaus rajono savivaldybė Avižienių seniūnija,,Avižienių kaimas,Gabijos gatvė,
Vilniaus rajono savivaldybė Avižienių seniūnija,,Avižienių kaimas,Gajos gatvė,
Vilniaus rajono savivaldybė Avižienių seniūnija,,Avižienių kaimas,Gegliškių gatvė,
Vilniaus rajono savivaldybė Avižienių seniūnija,,Avižienių kaimas,Gilužio gatvė,
Vilniaus rajono savivaldybė Avižienių seniūnija,,Avižienių kaimas,Gėlių gatvė,
Vilniaus rajono savivaldybė Avižienių seniūnija,,Avižienių kaimas,Kalno gatvė,
Vilniaus rajono savivaldybė Avižienių seniūnija,,Avižienių kaimas,Kardelių gatvė,
Vilniaus rajono savivaldybė Avižienių seniūnija,,Avižienių kaimas,Kaštonų gatvė,
Vilniaus rajono savivaldybė Avižienių seniūnija,,Avižienių kaimas,Kernavės gatvė,
Vilniaus rajono savivaldybė Avižienių seniūnija,,Avižienių kaimas,Laurų gatvė,
Vilniaus rajono savivaldybė Avižienių seniūnija,,Avižienių kaimas,Liepų gatvė,
Vilniaus rajono savivaldybė Avižienių seniūnija,,Avižienių kaimas,Mechanizatorių gatvė,
