institution,elderate,city,street,numbers
Visagino savivaldybė,,,,
Zarasų-Visagino rinkimų apygarda Nr. 52,,,Stabatiškės vs.,
Zarasų-Visagino rinkimų apygarda Nr. 52,,Ažukalviškės kaimas,,
Zarasų-Visagino rinkimų apygarda Nr. 52,,Babrūšos kaimas,,
Zarasų-Visagino rinkimų apygarda Nr. 52,,Drūkšinių kaimas,,
Zarasų-Visagino rinkimų apygarda Nr. 52,,Galų kaimas,,
Zarasų-Visagino rinkimų apygarda Nr. 52,,Julionių kaimas,,
Zarasų-Visagino rinkimų apygarda Nr. 52,,Juliškės kaimas,,
Zarasų-Visagino rinkimų apygarda Nr. 52,,Kalviškių kaimas,,
Zarasų-Visagino rinkimų apygarda Nr. 52,,Karlų kaimas,,
Zarasų-Visagino rinkimų apygarda Nr. 52,,Lapušiškės kaimas,,
Zarasų-Visagino rinkimų apygarda Nr. 52,,Magūnų kaimas,,
Zarasų-Visagino rinkimų apygarda Nr. 52,,Makaravo kaimas,,
Zarasų-Visagino rinkimų apygarda Nr. 52,,Mantvilų kaimas,,
Zarasų-Visagino rinkimų apygarda Nr. 52,,Petriškės kaimas,,
Zarasų-Visagino rinkimų apygarda Nr. 52,,Ramybės kaimas,,
Zarasų-Visagino rinkimų apygarda Nr. 52,,Serbiejiškės kaimas,,
Zarasų-Visagino rinkimų apygarda Nr. 52,,Skrytelių kaimas,,
Zarasų-Visagino rinkimų apygarda Nr. 52,,Tiltelio kaimas,,
Zarasų-Visagino rinkimų apygarda Nr. 52,,Tumelinos kaimas,,
Zarasų-Visagino rinkimų apygarda Nr. 52,,Visagino miestas,Draugystės gatvė,"11-17 odd, 21-29 odd, 14-24 even, 1-3 odd, 31"
Zarasų-Visagino rinkimų apygarda Nr. 52,,Visagino miestas,Energetikų gatvė,"24-32 even, 36-54 even, 5, 6-22 even, 60-72 even"
Zarasų-Visagino rinkimų apygarda Nr. 52,,Visagino miestas,Festivalio gatvė,"1-17 odd, 6-10 even"
Zarasų-Visagino rinkimų apygarda Nr. 52,,Visagino miestas,Jaunystės gatvė,"1-7 odd, 11-25 odd"
Zarasų-Visagino rinkimų apygarda Nr. 52,,Visagino miestas,Kosmoso gatvė,"4-8 even, 14-18 even, 28-44 even"
Zarasų-Visagino rinkimų apygarda Nr. 52,,Visagino miestas,Parko gatvė,"1, 11, 21-25 odd, 13-19 odd, 2-14 even"
Zarasų-Visagino rinkimų apygarda Nr. 52,,Visagino miestas,Partizanų gatvė,"11, 3-7 odd, 15-17 odd, 4-16 even"
Zarasų-Visagino rinkimų apygarda Nr. 52,,Visagino miestas,Santarvės gatvė,1
Zarasų-Visagino rinkimų apygarda Nr. 52,,Visagino miestas,Sedulinos alėja,"3-7 odd, 4-6 even, 53-57 odd, 69-75 odd, 9-11 odd, 16-18 even, 8-14 even, 21-23 odd, 35, 45-47 odd, 44-46 even, 59-67 odd"
Zarasų-Visagino rinkimų apygarda Nr. 52,,Visagino miestas,Statybininkų gatvė,"9-15 odd, 3-5 odd, 8-22 even, 2-4 even"
Zarasų-Visagino rinkimų apygarda Nr. 52,,Visagino miestas,Taikos prospektas,"1B, 6, 46-58 even, 78A, 78B, 78, 80, 12-44 even, 68-70 even, 72-76 even, 82-88 even"
Zarasų-Visagino rinkimų apygarda Nr. 52,,Visagino miestas,Tarybų gatvė,"21, 15-17 odd, 6-16 even, 3-11 odd"
Zarasų-Visagino rinkimų apygarda Nr. 52,,Visagino miestas,Veteranų gatvė,"15-17 odd, 6-22 even"
Zarasų-Visagino rinkimų apygarda Nr. 52,,Visagino miestas,Vilties gatvė,"2-4 even, 8-14 even, 7-23 odd, 18-20 even"
Zarasų-Visagino rinkimų apygarda Nr. 52,,Visagino miestas,Visagino gatvė,"5, 9-17 odd, 16-18 even, 19-27 odd, 2-14 even"
Zarasų-Visagino rinkimų apygarda Nr. 52,,Čeberakų kaimas,,
Zarasų-Visagino rinkimų apygarda Nr. 52,,Šaškų kaimas,,
