institution,elderate,city,street,numbers
Zarasų rajono savivaldybė,,,,
Zarasų rajono savivaldybė Antalieptės seniūnija,,Antalieptės miestelis,,
Zarasų rajono savivaldybė Antalieptės seniūnija,,Aukštalaukių kaimas,,
Zarasų rajono savivaldybė Antalieptės seniūnija,,Ešerinės kaimas,,
Zarasų rajono savivaldybė Antalieptės seniūnija,,Gaidelių kaimas,,
Zarasų rajono savivaldybė Antalieptės seniūnija,,Garmuliškio kaimas,,
Zarasų rajono savivaldybė Antalieptės seniūnija,,Gaspariškių kaimas,,
Zarasų rajono savivaldybė Antalieptės seniūnija,,Guntulių kaimas,,
Zarasų rajono savivaldybė Antalieptės seniūnija,,Gutaučių kaimas,,
Zarasų rajono savivaldybė Antalieptės seniūnija,,Jasiūnų kaimas,,
Zarasų rajono savivaldybė Antalieptės seniūnija,,Jurkiškių kaimas,,
Zarasų rajono savivaldybė Antalieptės seniūnija,,Kaniūkų kaimas,,
Zarasų rajono savivaldybė Antalieptės seniūnija,,Kimbariškio I kaimas,,
Zarasų rajono savivaldybė Antalieptės seniūnija,,Kimbariškio II kaimas,,
Zarasų rajono savivaldybė Antalieptės seniūnija,,Kuitenių kaimas,,
Zarasų rajono savivaldybė Antalieptės seniūnija,,Landiškių kaimas,,
Zarasų rajono savivaldybė Antalieptės seniūnija,,Madagaskaro kaimas,,
Zarasų rajono savivaldybė Antalieptės seniūnija,,Maderų kaimas,,
Zarasų rajono savivaldybė Antalieptės seniūnija,,Mikiškių kaimas,,
Zarasų rajono savivaldybė Antalieptės seniūnija,,Naršėnų kaimas,,
Zarasų rajono savivaldybė Antalieptės seniūnija,,Padusčio kaimas,,
Zarasų rajono savivaldybė Antalieptės seniūnija,,Pajevinės kaimas,,
Zarasų rajono savivaldybė Antalieptės seniūnija,,Pociškių kaimas,,
Zarasų rajono savivaldybė Antalieptės seniūnija,,Purvynės kaimas,,
Zarasų rajono savivaldybė Antalieptės seniūnija,,Sruogiškių kaimas,,
Zarasų rajono savivaldybė Antalieptės seniūnija,,Svidžių kaimas,,
Zarasų rajono savivaldybė Antalieptės seniūnija,,Svigarių kaimas,,
Zarasų rajono savivaldybė Antalieptės seniūnija,,Veleikių kaimas,,
Zarasų rajono savivaldybė Antalieptės seniūnija,,Verslavos kaimas,,
Zarasų rajono savivaldybė Antalieptės seniūnija,,Volungių kaimas,,
Zarasų rajono savivaldybė Antalieptės seniūnija,,Vosiškių kaimas,,
Zarasų rajono savivaldybė Antalieptės seniūnija,,Zabičiūnų kaimas,,
Zarasų rajono savivaldybė Antalieptės seniūnija,,Šarkiškių kaimas,,
Zarasų rajono savivaldybė Antalieptės seniūnija,,Šilinės kaimas,,
Zarasų rajono savivaldybė Antazavės seniūnija,,Alkaukos kaimas,,
Zarasų rajono savivaldybė Antazavės seniūnija,,Antazavės kaimas,,
Zarasų rajono savivaldybė Antazavės seniūnija,,Astraučiznos kaimas,,
Zarasų rajono savivaldybė Antazavės seniūnija,,Bakučių kaimas,,
Zarasų rajono savivaldybė Antazavės seniūnija,,Biržiniškio kaimas,,
Zarasų rajono savivaldybė Antazavės seniūnija,,Bugų kaimas,,
Zarasų rajono savivaldybė Antazavės seniūnija,,Bugų Šilelio kaimas,,
Zarasų rajono savivaldybė Antazavės seniūnija,,Butiškių kaimas,,
Zarasų rajono savivaldybė Antazavės seniūnija,,Daržininkų kaimas,,
Zarasų rajono savivaldybė Antazavės seniūnija,,Degutiškio kaimas,,
Zarasų rajono savivaldybė Antazavės seniūnija,,Dembų kaimas,,
Zarasų rajono savivaldybė Antazavės seniūnija,,Dervinių kaimas,,
Zarasų rajono savivaldybė Antazavės seniūnija,,Didėjos kaimas,,
Zarasų rajono savivaldybė Antazavės seniūnija,,Dumblynės kaimas,,
Zarasų rajono savivaldybė Antazavės seniūnija,,Dunduliškio kaimas,,
Zarasų rajono savivaldybė Antazavės seniūnija,,Gegužiškio kaimas,,
Zarasų rajono savivaldybė Antazavės seniūnija,,Gipėnų kaimas,,
Zarasų rajono savivaldybė Antazavės seniūnija,,Ilgašilio kaimas,,
Zarasų rajono savivaldybė Antazavės seniūnija,,Ivoniškių kaimas,,
Zarasų rajono savivaldybė Antazavės seniūnija,,Joneikiškių kaimas,,
Zarasų rajono savivaldybė Antazavės seniūnija,,Joniškio kaimas,,
Zarasų rajono savivaldybė Antazavės seniūnija,,Kazimieriškio kaimas,,
Zarasų rajono savivaldybė Antazavės seniūnija,,Kukariškio kaimas,,
Zarasų rajono savivaldybė Antazavės seniūnija,,Kumpuolių kaimas,,
Zarasų rajono savivaldybė Antazavės seniūnija,,Latviškių kaimas,,
Zarasų rajono savivaldybė Antazavės seniūnija,,Lygalaukių kaimas,,
Zarasų rajono savivaldybė Antazavės seniūnija,,Maniuliškių kaimas,,
Zarasų rajono savivaldybė Antazavės seniūnija,,Margavonių kaimas,,
Zarasų rajono savivaldybė Antazavės seniūnija,,Marimanto kaimas,,
Zarasų rajono savivaldybė Antazavės seniūnija,,Meletiškių kaimas,,
Zarasų rajono savivaldybė Antazavės seniūnija,,Merkialaukių kaimas,,
Zarasų rajono savivaldybė Antazavės seniūnija,,Navikų kaimas,,
Zarasų rajono savivaldybė Antazavės seniūnija,,Pailgių kaimas,,
Zarasų rajono savivaldybė Antazavės seniūnija,,Paivoniškių kaimas,,
Zarasų rajono savivaldybė Antazavės seniūnija,,Pakačinių kaimas,,
Zarasų rajono savivaldybė Antazavės seniūnija,,Pakerių kaimas,,
Zarasų rajono savivaldybė Antazavės seniūnija,,Paliesės kaimas,,
Zarasų rajono savivaldybė Antazavės seniūnija,,Paliūnių viensėdis,,
Zarasų rajono savivaldybė Antazavės seniūnija,,Pamilgedžių kaimas,,
Zarasų rajono savivaldybė Antazavės seniūnija,,Pasartės kaimas,,
Zarasų rajono savivaldybė Antazavės seniūnija,,Paveisejų kaimas,,
Zarasų rajono savivaldybė Antazavės seniūnija,,Pazaduojės kaimas,,
Zarasų rajono savivaldybė Antazavės seniūnija,,Pazirnajo kaimas,,
Zarasų rajono savivaldybė Antazavės seniūnija,,Rokėnų kaimas,,
Zarasų rajono savivaldybė Antazavės seniūnija,,Salinių kaimas,,
Zarasų rajono savivaldybė Antazavės seniūnija,,Sviliškių kaimas,,
