id,country,county,municipality,civilparish,city,citygenitive,street
1,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Antakalnio gatvė
2,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Ateities gatvė
3,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Aušros gatvė
4,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Avirės gatvė
5,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Balainės gatvė
6,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Baltašiškės gatvė
7,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Baravykų gatvė
8,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Bijūnų gatvė
9,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Birutės gatvė
10,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Birštono gatvė
11,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Bokšto gatvė
12,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Cimakovo gatvė
13,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Dabintos gatvė
14,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Dainavos gatvė
15,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Daugintos gatvė
16,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Draugystės gatvė
17,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Druskininkų gatvė
18,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Dzūkų gatvė
19,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,E. Ožeškienės gatvė
20,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Eglės gatvė
21,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Gardino gatvė
22,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Gluosnių gatvė
23,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Gėlių gatvė
24,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,I. Fonbergo gatvė
25,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Janapolės gatvė
26,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,K. Dineikos gatvė
27,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Kadagių gatvė
28,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Kaimynų gatvė
29,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Kalnų gatvė
30,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Kauno plentas
31,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Kaziulių gatvė
32,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Klonio gatvė
33,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Kurorto gatvė
34,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,L. Giros gatvė
35,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Laisvės aikštė
36,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Latežerio gatvė
37,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Laukų gatvė
38,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Leipalingio gatvė
39,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Liepų gatvė
40,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Ligoninės gatvė
41,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Lipliūnų gatvė
42,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Liškiavos gatvė
43,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,M. K. Čiurlionio gatvė
44,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Maironio gatvė
45,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Mažoji gatvė
46,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Merkinės gatvė
47,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Miciūnų gatvė
48,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Mildos gatvė
49,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Mizarų gatvė
50,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Miškų gatvė
51,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,,Druskininkai,Druskininkų miestas,Nemuno gatvė
