id,country,county,municipality,civilparish,city,citygenitive,street
1,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,"""Klevo"" sodas "
2,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,"""Ąžuolo"" sodas "
3,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,"""Šermuto"" sodas "
4,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,A. Baranausko gatvė
5,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,A. Gudonio gatvė
6,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,A. Jakšto gatvė
7,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,A. Kisino gatvė
8,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,A. Mackevičiaus gatvė
9,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,A. Smetonos gatvė
10,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,A. Strazdo gatvė
11,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,A. Vienuolio gatvė
12,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,Aguonų 1-asis skersgatvis
13,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,Aguonų 2-asis skersgatvis
14,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,Aguonų gatvė
15,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,Aido gatvė
16,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,Ainių gatvė
17,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,Aitvarų gatvė
18,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,Ajerų gatvė
19,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,Aldonos gatvė
20,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,Algirdo gatvė
21,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,Alksnyno gatvė
22,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,Alyvų gatvė
23,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,Alyvų skersgatvis
24,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,Amerikos gatvė
25,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,Anykščių gatvė
26,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,Apvaizdos takas
27,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,Apynių gatvė
28,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,Armuliškio gatvė
29,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,Artojų gatvė
30,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,Astrų gatvė
31,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,Ateities gatvė
32,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,Atminimo skv.
33,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,Atžalyno gatvė
34,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,Audėjų gatvė
35,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,Aukštaičių gatvė
36,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,Aušros gatvė
37,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,B. Sruogos gatvė
38,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,Bajoriškių gatvė
39,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,Baltijos gatvė
40,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,Barklainių gatvė
41,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,Basliupio gatvė
42,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,Berniūnų gatvė
43,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,Berčiūnų gatvė
44,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,Beržyno gatvė
45,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,Beržų gatvė
46,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,Bijūnų gatvė
47,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,Birutės gatvė
48,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,Biržų gatvė
49,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,Bityno gatvė
50,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,Bliūdžių gatvė
51,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,Bobkalnio gatvė
52,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,Bruknynės gatvė
53,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,D. Poškos gatvė
54,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,Dainavos gatvė
55,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,Danutės gatvė
56,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,Darbininkų gatvė
57,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,Darbo aikštė
58,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,Dariaus ir Girėno gatvė
59,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,Daukniūnų gatvė
60,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,Daumėnų gatvė
61,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,Dubogirio gatvė
62,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,Durpyno gatvė
63,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,Dvaro gatvė
64,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,Dzūkų gatvė
65,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,E. Liutkevičiaus gatvė
66,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,Eglyno gatvė
67,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,Eiguvos gatvė
68,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,Elektronikos gatvė
69,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,Elektros gatvė
70,LIETUVOS RESPUBLIKA,Panevėžio apskritis,Panevėžio miesto savivaldybė,,Panevėžys,Panevėžio miestas,F. Vaitkaus gatvė
