id,country,county,municipality,civilparish,city,citygenitive,street
1,LIETUVOS RESPUBLIKA,Utenos apskritis,Visagino savivaldybė,,Visaginas,Visagino miestas,Draugystės gatvė
2,LIETUVOS RESPUBLIKA,Utenos apskritis,Visagino savivaldybė,,Visaginas,Visagino miestas,Energetikų gatvė
3,LIETUVOS RESPUBLIKA,Utenos apskritis,Visagino savivaldybė,,Visaginas,Visagino miestas,Festivalio gatvė
4,LIETUVOS RESPUBLIKA,Utenos apskritis,Visagino savivaldybė,,Visaginas,Visagino miestas,Jaunystės gatvė
5,LIETUVOS RESPUBLIKA,Utenos apskritis,Visagino savivaldybė,,Visaginas,Visagino miestas,Kosmoso gatvė
6,LIETUVOS RESPUBLIKA,Utenos apskritis,Visagino savivaldybė,,Visaginas,Visagino miestas,Parko gatvė
7,LIETUVOS RESPUBLIKA,Utenos apskritis,Visagino savivaldybė,,Visaginas,Visagino miestas,Partizanų gatvė
8,LIETUVOS RESPUBLIKA,Utenos apskritis,Visagino savivaldybė,,Visaginas,Visagino miestas,Santarvės aikštė
9,LIETUVOS RESPUBLIKA,Utenos apskritis,Visagino savivaldybė,,Visaginas,Visagino miestas,Santarvės gatvė
10,LIETUVOS RESPUBLIKA,Utenos apskritis,Visagino savivaldybė,,Visaginas,Visagino miestas,Sedulinos alėja
11,LIETUVOS RESPUBLIKA,Utenos apskritis,Visagino savivaldybė,,Visaginas,Visagino miestas,Statybininkų gatvė
12,LIETUVOS RESPUBLIKA,Utenos apskritis,Visagino savivaldybė,,Visaginas,Visagino miestas,Taikos prospektas
13,LIETUVOS RESPUBLIKA,Utenos apskritis,Visagino savivaldybė,,Visaginas,Visagino miestas,Tarybų gatvė
14,LIETUVOS RESPUBLIKA,Utenos apskritis,Visagino savivaldybė,,Visaginas,Visagino miestas,Veteranų gatvė
15,LIETUVOS RESPUBLIKA,Utenos apskritis,Visagino savivaldybė,,Visaginas,Visagino miestas,Vilties gatvė
16,LIETUVOS RESPUBLIKA,Utenos apskritis,Visagino savivaldybė,,Visaginas,Visagino miestas,Visagino gatvė
