id,country,county,municipality,civilparish,city,citygenitive,street
1,LIETUVOS RESPUBLIKA,Alytaus apskritis,Alytaus rajono savivaldybė,Butrimonių seniūnija,Butrimonys,Butrimonių miestelis,A. Juozapavičiaus gatvė
2,LIETUVOS RESPUBLIKA,Alytaus apskritis,Varėnos rajono savivaldybė,Varėnos seniūnija,Senoji Varėna,Senosios Varėnos kaimas,A. Ryliškio gatvė
3,LIETUVOS RESPUBLIKA,Alytaus apskritis,Varėnos rajono savivaldybė,Varėnos seniūnija,Varėna,Varėnos miestas,A. Smetonos gatvė
4,LIETUVOS RESPUBLIKA,Alytaus apskritis,Lazdijų rajono savivaldybė,Seirijų seniūnija,Seirijai,Seirijų miestelis,A. Žmuidzinavičiaus gatvė
5,LIETUVOS RESPUBLIKA,Alytaus apskritis,Lazdijų rajono savivaldybė,Veisiejų seniūnija,Abarauskai,Abarauskų kaimas,
6,LIETUVOS RESPUBLIKA,Alytaus apskritis,Alytaus rajono savivaldybė,Punios seniūnija,Adamonys,Adamonių kaimas,
7,LIETUVOS RESPUBLIKA,Alytaus apskritis,Alytaus rajono savivaldybė,Krokialaukio seniūnija,Varanauskas,Varanausko kaimas,Aerodromo gatvė
8,LIETUVOS RESPUBLIKA,Alytaus apskritis,Lazdijų rajono savivaldybė,Lazdijų seniūnija,Agariniai,Agarinių kaimas,
9,LIETUVOS RESPUBLIKA,Alytaus apskritis,Alytaus rajono savivaldybė,Alovės seniūnija,Kaniūkai,Kaniūkų kaimas,Agrastų gatvė
10,LIETUVOS RESPUBLIKA,Alytaus apskritis,Lazdijų rajono savivaldybė,Seirijų seniūnija,Seirijai,Seirijų miestelis,Aguonų gatvė
11,LIETUVOS RESPUBLIKA,Alytaus apskritis,Varėnos rajono savivaldybė,Varėnos seniūnija,Senoji Varėna,Senosios Varėnos kaimas,Aguonų gatvė
12,LIETUVOS RESPUBLIKA,Alytaus apskritis,Alytaus rajono savivaldybė,Nemunaičio seniūnija,Nemunaitis,Nemunaičio kaimas,Akacijų gatvė
13,LIETUVOS RESPUBLIKA,Alytaus apskritis,Alytaus rajono savivaldybė,Alytaus seniūnija,Luksnėnai,Luksnėnų kaimas,Akacijų gatvė
14,LIETUVOS RESPUBLIKA,Alytaus apskritis,Lazdijų rajono savivaldybė,Lazdijų seniūnija,Kukliai,Kuklių kaimas,Akacijų gatvė
15,LIETUVOS RESPUBLIKA,Alytaus apskritis,Lazdijų rajono savivaldybė,Lazdijų seniūnija,Lazdijai,Lazdijų kaimas,Akacijų gatvė
16,LIETUVOS RESPUBLIKA,Alytaus apskritis,Alytaus rajono savivaldybė,Daugų seniūnija,Vaikantonys,Vaikantonių kaimas,Akalyčios gatvė
17,LIETUVOS RESPUBLIKA,Alytaus apskritis,Alytaus rajono savivaldybė,Daugų seniūnija,Vėžionys,Vėžionių kaimas,Akalyčios gatvė
18,LIETUVOS RESPUBLIKA,Alytaus apskritis,Lazdijų rajono savivaldybė,Kučiūnų seniūnija,Akmeniai,Akmenių kaimas,
19,LIETUVOS RESPUBLIKA,Alytaus apskritis,Druskininkų savivaldybė,Viečiūnų seniūnija,Švendubrė,Švendubrės kaimas,Akmens gatvė
20,LIETUVOS RESPUBLIKA,Alytaus apskritis,Lazdijų rajono savivaldybė,Krosnos seniūnija,Pėdiškiai,Pėdiškių kaimas,Akmenų gatvė
21,LIETUVOS RESPUBLIKA,Alytaus apskritis,Lazdijų rajono savivaldybė,Krosnos seniūnija,Ramanavas,Ramanavo kaimas,Akmenų gatvė
22,LIETUVOS RESPUBLIKA,Alytaus apskritis,Varėnos rajono savivaldybė,Jakėnų seniūnija,Akmuo,Akmenio kaimas,
23,LIETUVOS RESPUBLIKA,Alytaus apskritis,Lazdijų rajono savivaldybė,Seirijų seniūnija,Akuočiai,Akuočių kaimas,
