id,country,county,municipality,civilparish,city,citygenitive,street
1,LIETUVOS RESPUBLIKA,Kauno apskritis,Kauno rajono savivaldybė,Garliavos apylinkių seniūnija,Seniava,Seniavos kaimas,3-iojo Forto gatvė
2,LIETUVOS RESPUBLIKA,Kauno apskritis,Kaišiadorių rajono savivaldybė,Žiežmarių seniūnija,Žiežmariai,Žiežmarių miestas,A. Ažubalio gatvė
3,LIETUVOS RESPUBLIKA,Kauno apskritis,Kauno rajono savivaldybė,Ežerėlio seniūnija,Ežerėlis,Ežerėlio miestas,A. Baranausko gatvė
4,LIETUVOS RESPUBLIKA,Kauno apskritis,Kauno rajono savivaldybė,Garliavos seniūnija,Garliava,Garliavos miestas,A. Baranausko gatvė
5,LIETUVOS RESPUBLIKA,Kauno apskritis,Kaišiadorių rajono savivaldybė,Rumšiškių seniūnija,Rumšiškės,Rumšiškių miestelis,A. Baranausko gatvė
6,LIETUVOS RESPUBLIKA,Kauno apskritis,Raseinių rajono savivaldybė,Girkalnio seniūnija,Girkalnis,Girkalnio miestelis,A. Fromo-Gužučio gatvė
7,LIETUVOS RESPUBLIKA,Kauno apskritis,Kėdainių rajono savivaldybė,Kėdainių miesto seniūnija,Kėdainiai,Kėdainių miestas,A. Kanapinsko gatvė
8,LIETUVOS RESPUBLIKA,Kauno apskritis,Kauno rajono savivaldybė,Samylų seniūnija,Žiegždriai,Žiegždrių kaimas,A. Kriščiūno gatvė
9,LIETUVOS RESPUBLIKA,Kauno apskritis,Jonavos rajono savivaldybė,Jonavos miesto seniūnija,Jonava,Jonavos miestas,A. Kulviečio gatvė
10,LIETUVOS RESPUBLIKA,Kauno apskritis,Kauno rajono savivaldybė,Kulautuvos seniūnija,Kulautuva,Kulautuvos miestelis,A. Maceinos gatvė
11,LIETUVOS RESPUBLIKA,Kauno apskritis,Kauno rajono savivaldybė,Lapių seniūnija,Lapės,Lapių miestelis,A. Merkio gatvė
12,LIETUVOS RESPUBLIKA,Kauno apskritis,Kėdainių rajono savivaldybė,Kėdainių miesto seniūnija,Kėdainiai,Kėdainių miestas,A. Mickevičiaus gatvė
13,LIETUVOS RESPUBLIKA,Kauno apskritis,Kauno rajono savivaldybė,Alšėnų seniūnija,Tirkiliškiai,Tirkiliškių kaimas,A. Sakalausko gatvė
14,LIETUVOS RESPUBLIKA,Kauno apskritis,Kauno rajono savivaldybė,Lapių seniūnija,Šatijai,Šatijų kaimas,Abrikosų gatvė
15,LIETUVOS RESPUBLIKA,Kauno apskritis,Prienų rajono savivaldybė,Veiverių seniūnija,Papilvis,Papilvio kaimas,Abrikosų gatvė
16,LIETUVOS RESPUBLIKA,Kauno apskritis,Kauno rajono savivaldybė,Vilkijos apylinkių seniūnija,Adomkiškiai,Adomkiškių kaimas,
17,LIETUVOS RESPUBLIKA,Kauno apskritis,Kauno rajono savivaldybė,Vilkijos apylinkių seniūnija,Vilkija,Vilkijos kaimas,Adomkiškių gatvė
18,LIETUVOS RESPUBLIKA,Kauno apskritis,Kėdainių rajono savivaldybė,Pelėdnagių seniūnija,Nociūnai,Nociūnų kaimas,Adomo Šimkevičiaus gatvė
19,LIETUVOS RESPUBLIKA,Kauno apskritis,Kaišiadorių rajono savivaldybė,Kruonio seniūnija,Adomėliai,Adomėlių kaimas,
20,LIETUVOS RESPUBLIKA,Kauno apskritis,Raseinių rajono savivaldybė,Betygalos seniūnija,Agelaičiai,Agelaičių kaimas,
21,LIETUVOS RESPUBLIKA,Kauno apskritis,Kauno rajono savivaldybė,Domeikavos seniūnija,Smiltynai I,Smiltynų I kaimas,Agnopolio gatvė
22,LIETUVOS RESPUBLIKA,Kauno apskritis,Jonavos rajono savivaldybė,Jonavos miesto seniūnija,Jonava,Jonavos miestas,Agrastų gatvė
23,LIETUVOS RESPUBLIKA,Kauno apskritis,Kauno rajono savivaldybė,Karmėlavos seniūnija,Martinava,Martinavos kaimas,Agrastų gatvė
24,LIETUVOS RESPUBLIKA,Kauno apskritis,Kauno rajono savivaldybė,Lapių seniūnija,Lepšiškiai,Lepšiškių kaimas,Agrastų gatvė
25,LIETUVOS RESPUBLIKA,Kauno apskritis,Kauno rajono savivaldybė,Lapių seniūnija,Šatijai,Šatijų kaimas,Agrastų gatvė
26,LIETUVOS RESPUBLIKA,Kauno apskritis,Kauno rajono savivaldybė,Neveronių seniūnija,Pabiržis,Pabiržio kaimas,Agrastų gatvė
27,LIETUVOS RESPUBLIKA,Kauno apskritis,Kauno rajono savivaldybė,Taurakiemio seniūnija,Arlaviškės,Arlaviškių kaimas,Agrastų gatvė
28,LIETUVOS RESPUBLIKA,Kauno apskritis,Jonavos rajono savivaldybė,Šilų seniūnija,Stoškai,Stoškų kaimas,Agrastų gatvė
29,LIETUVOS RESPUBLIKA,Kauno apskritis,Jonavos rajono savivaldybė,Kulvos seniūnija,Mardošiškiai,Mardošiškių kaimas,Aguonų gatvė
30,LIETUVOS RESPUBLIKA,Kauno apskritis,Kauno rajono savivaldybė,Babtų seniūnija,Babtai,Babtų miestelis,Aguonų gatvė
31,LIETUVOS RESPUBLIKA,Kauno apskritis,Raseinių rajono savivaldybė,Raseinių miesto seniūnija,Raseiniai,Raseinių miestas,Aguonų gatvė
32,LIETUVOS RESPUBLIKA,Kauno apskritis,Prienų rajono savivaldybė,Veiverių seniūnija,Papilvis,Papilvio kaimas,Aguonų gatvė
33,LIETUVOS RESPUBLIKA,Kauno apskritis,Raseinių rajono savivaldybė,Raseinių miesto seniūnija,Raseiniai,Raseinių miestas,Aguonų takas
34,LIETUVOS RESPUBLIKA,Kauno apskritis,Kauno rajono savivaldybė,Lapių seniūnija,Drąseikiai,Drąseikių kaimas,Aido gatvė
35,LIETUVOS RESPUBLIKA,Kauno apskritis,Kauno rajono savivaldybė,Užliedžių seniūnija,Romainių Kaimelė,Romainių Kaimelės kaimas,Ainių gatvė
36,LIETUVOS RESPUBLIKA,Kauno apskritis,Kauno rajono savivaldybė,Ringaudų seniūnija,Virbališkiai,Virbališkių kaimas,Aitvaro gatvė
37,LIETUVOS RESPUBLIKA,Kauno apskritis,Kauno rajono savivaldybė,Domeikavos seniūnija,Šakiai,Šakių kaimas,Aitvaro takas
38,LIETUVOS RESPUBLIKA,Kauno apskritis,Kauno rajono savivaldybė,Domeikavos seniūnija,Kumpiai,Kumpių kaimas,Ajerų gatvė
39,LIETUVOS RESPUBLIKA,Kauno apskritis,Kauno rajono savivaldybė,Domeikavos seniūnija,Šakiai,Šakių kaimas,Ajerų gatvė
40,LIETUVOS RESPUBLIKA,Kauno apskritis,Kauno rajono savivaldybė,Kulautuvos seniūnija,Kulautuva,Kulautuvos miestelis,Akacijų alėja
41,LIETUVOS RESPUBLIKA,Kauno apskritis,Kauno rajono savivaldybė,Babtų seniūnija,Babtai,Babtų miestelis,Akacijų gatvė
42,LIETUVOS RESPUBLIKA,Kauno apskritis,Kauno rajono savivaldybė,Domeikavos seniūnija,Domeikava,Domeikavos kaimas,Akacijų gatvė
43,LIETUVOS RESPUBLIKA,Kauno apskritis,Kauno rajono savivaldybė,Garliavos apylinkių seniūnija,Pagiriai,Pagirių kaimas,Akacijų gatvė
44,LIETUVOS RESPUBLIKA,Kauno apskritis,Kauno rajono savivaldybė,Garliavos seniūnija,Garliava,Garliavos miestas,Akacijų gatvė
45,LIETUVOS RESPUBLIKA,Kauno apskritis,Kauno rajono savivaldybė,Neveronių seniūnija,Neveronys,Neveronių kaimas,Akacijų gatvė
46,LIETUVOS RESPUBLIKA,Kauno apskritis,Kauno rajono savivaldybė,Raudondvario seniūnija,Raudondvaris,Raudondvario kaimas,Akacijų gatvė
47,LIETUVOS RESPUBLIKA,Kauno apskritis,Kauno rajono savivaldybė,Ringaudų seniūnija,Noreikiškės,Noreikiškių kaimas,Akacijų gatvė
48,LIETUVOS RESPUBLIKA,Kauno apskritis,Kauno rajono savivaldybė,Užliedžių seniūnija,Giraitė,Giraitės kaimas,Akacijų gatvė
49,LIETUVOS RESPUBLIKA,Kauno apskritis,Kauno rajono savivaldybė,Vilkijos seniūnija,Vilkija,Vilkijos miestas,Akacijų gatvė
50,LIETUVOS RESPUBLIKA,Kauno apskritis,Kėdainių rajono savivaldybė,Kėdainių miesto seniūnija,Kėdainiai,Kėdainių miestas,Akacijų gatvė
51,LIETUVOS RESPUBLIKA,Kauno apskritis,Prienų rajono savivaldybė,Veiverių seniūnija,Byliškės,Byliškių kaimas,Akacijų gatvė
52,LIETUVOS RESPUBLIKA,Kauno apskritis,Raseinių rajono savivaldybė,Raseinių miesto seniūnija,Raseiniai,Raseinių miestas,Akacijų gatvė
53,LIETUVOS RESPUBLIKA,Kauno apskritis,Prienų rajono savivaldybė,Veiverių seniūnija,Papilvis,Papilvio kaimas,Akacijų gatvė
54,LIETUVOS RESPUBLIKA,Kauno apskritis,Raseinių rajono savivaldybė,Raseinių seniūnija,Norgėlai,Norgėlų kaimas,Akacijų gatvė
55,LIETUVOS RESPUBLIKA,Kauno apskritis,Raseinių rajono savivaldybė,Šiluvos seniūnija,Katauskiai,Katauskių kaimas,Akacijų gatvė
56,LIETUVOS RESPUBLIKA,Kauno apskritis,Raseinių rajono savivaldybė,Raseinių miesto seniūnija,Raseiniai,Raseinių miestas,Akacijų takas
57,LIETUVOS RESPUBLIKA,Kauno apskritis,Prienų rajono savivaldybė,Išlaužo seniūnija,Išlaužas,Išlaužo kaimas,Aklaežerio gatvė
58,LIETUVOS RESPUBLIKA,Kauno apskritis,Jonavos rajono savivaldybė,Šilų seniūnija,Aklasis ežeras,Aklojo ežero kaimas,
59,LIETUVOS RESPUBLIKA,Kauno apskritis,Jonavos rajono savivaldybė,Žeimių seniūnija,Akliai,Aklių kaimas,
60,LIETUVOS RESPUBLIKA,Kauno apskritis,Jonavos rajono savivaldybė,Bukonių seniūnija,Liepiai,Liepių kaimas,Akloji gatvė
61,LIETUVOS RESPUBLIKA,Kauno apskritis,Kauno rajono savivaldybė,Karmėlavos seniūnija,Karmėlava,Karmėlavos miestelis,Akloji gatvė
62,LIETUVOS RESPUBLIKA,Kauno apskritis,Kėdainių rajono savivaldybė,Pelėdnagių seniūnija,Paobelys,Paobelio kaimas,Akloji gatvė
63,LIETUVOS RESPUBLIKA,Kauno apskritis,Jonavos rajono savivaldybė,Žeimių seniūnija,Akmeniai,Akmenių kaimas,
64,LIETUVOS RESPUBLIKA,Kauno apskritis,Kėdainių rajono savivaldybė,Pelėdnagių seniūnija,Akmeniai,Akmenių kaimas,
65,LIETUVOS RESPUBLIKA,Kauno apskritis,Kėdainių rajono savivaldybė,Pelėdnagių seniūnija,Beinaičiai,Beinaičių kaimas,Akmenių gatvė
66,LIETUVOS RESPUBLIKA,Kauno apskritis,Kauno rajono savivaldybė,Garliavos apylinkių seniūnija,Karkazai,Karkazų kaimas,Akmens gatvė
67,LIETUVOS RESPUBLIKA,Kauno apskritis,Raseinių rajono savivaldybė,Šiluvos seniūnija,Akmenė,Akmenės kaimas,
68,LIETUVOS RESPUBLIKA,Kauno apskritis,Kėdainių rajono savivaldybė,Pelėdnagių seniūnija,Labūnava,Labūnavos kaimas,Akmenėlių gatvė
69,LIETUVOS RESPUBLIKA,Kauno apskritis,Kauno rajono savivaldybė,Vilkijos apylinkių seniūnija,Akuotai,Akuotų kaimas,
70,LIETUVOS RESPUBLIKA,Kauno apskritis,Prienų rajono savivaldybė,Stakliškių seniūnija,Akuškonys,Akuškonių kaimas,
71,LIETUVOS RESPUBLIKA,Kauno apskritis,Raseinių rajono savivaldybė,Viduklės seniūnija,Alaviniškiai,Alaviniškių kaimas,
72,LIETUVOS RESPUBLIKA,Kauno apskritis,Kauno rajono savivaldybė,Alšėnų seniūnija,Narsiečiai,Narsiečių kaimas,Aldonos Birutienės gatvė
73,LIETUVOS RESPUBLIKA,Kauno apskritis,Raseinių rajono savivaldybė,Viduklės seniūnija,Aleknai,Aleknų kaimas,
74,LIETUVOS RESPUBLIKA,Kauno apskritis,Raseinių rajono savivaldybė,Betygalos seniūnija,Aleknaičiai,Aleknaičių kaimas,
75,LIETUVOS RESPUBLIKA,Kauno apskritis,Raseinių rajono savivaldybė,Betygalos seniūnija,Steponkaimis,Steponkaimio kaimas,Aleknaičių gatvė
76,LIETUVOS RESPUBLIKA,Kauno apskritis,Jonavos rajono savivaldybė,Upninkų seniūnija,Alekniškis,Alekniškio kaimas,
77,LIETUVOS RESPUBLIKA,Kauno apskritis,Raseinių rajono savivaldybė,Paliepių seniūnija,Aleksandrai,Aleksandrų kaimas,
78,LIETUVOS RESPUBLIKA,Kauno apskritis,Kėdainių rajono savivaldybė,Šėtos seniūnija,Aleksandriškis,Aleksandriškio kaimas,
79,LIETUVOS RESPUBLIKA,Kauno apskritis,Raseinių rajono savivaldybė,Ariogalos seniūnija,Aleksandrovka,Aleksandrovkos kaimas,
80,LIETUVOS RESPUBLIKA,Kauno apskritis,Kaišiadorių rajono savivaldybė,Pravieniškių seniūnija,Aleksandruvka,Aleksandruvkos kaimas,
81,LIETUVOS RESPUBLIKA,Kauno apskritis,Jonavos rajono savivaldybė,Dumsių seniūnija,Šveicarija,Šveicarijos kaimas,Aleksandrynės gatvė
82,LIETUVOS RESPUBLIKA,Kauno apskritis,Raseinių rajono savivaldybė,Paliepių seniūnija,Slabada,Slabados kaimas,Aleksandrų gatvė
83,LIETUVOS RESPUBLIKA,Kauno apskritis,Kaišiadorių rajono savivaldybė,Žiežmarių apylinkės seniūnija,Aleksiejūniškės,Aleksiejūniškių kaimas,
84,LIETUVOS RESPUBLIKA,Kauno apskritis,Prienų rajono savivaldybė,Veiverių seniūnija,Čiurliai,Čiurlių kaimas,Aleksoto gatvė
85,LIETUVOS RESPUBLIKA,Kauno apskritis,Prienų rajono savivaldybė,Veiverių seniūnija,Mauručiai,Mauručių kaimas,Aleksoto gatvė
86,LIETUVOS RESPUBLIKA,Kauno apskritis,Kauno miesto savivaldybė,Aleksoto seniūnija,,,
87,LIETUVOS RESPUBLIKA,Kauno apskritis,Raseinių rajono savivaldybė,Nemakščių seniūnija,Algeniai,Algenių kaimas,
88,LIETUVOS RESPUBLIKA,Kauno apskritis,Raseinių rajono savivaldybė,Ariogalos seniūnija,Algimantai,Algimantų kaimas,
89,LIETUVOS RESPUBLIKA,Kauno apskritis,Kauno rajono savivaldybė,Domeikavos seniūnija,Varluva,Varluvos kaimas,Algimanto Masiulio gatvė
90,LIETUVOS RESPUBLIKA,Kauno apskritis,Raseinių rajono savivaldybė,Ariogalos miesto seniūnija,Ariogala,Ariogalos miestas,Algimantų gatvė
91,LIETUVOS RESPUBLIKA,Kauno apskritis,Kaišiadorių rajono savivaldybė,Kaišiadorių miesto seniūnija,Kaišiadorys,Kaišiadorių miestas,Algirdo gatvė
92,LIETUVOS RESPUBLIKA,Kauno apskritis,Kauno rajono savivaldybė,Garliavos seniūnija,Garliava,Garliavos miestas,Algirdo gatvė
93,LIETUVOS RESPUBLIKA,Kauno apskritis,Kauno rajono savivaldybė,Karmėlavos seniūnija,Naujasodis,Naujasodžio kaimas,Algirdo gatvė
94,LIETUVOS RESPUBLIKA,Kauno apskritis,Prienų rajono savivaldybė,Prienų seniūnija,Prienai,Prienų miestas,Algirdo gatvė
95,LIETUVOS RESPUBLIKA,Kauno apskritis,Raseinių rajono savivaldybė,Raseinių miesto seniūnija,Raseiniai,Raseinių miestas,Algirdo gatvė
96,LIETUVOS RESPUBLIKA,Kauno apskritis,Raseinių rajono savivaldybė,Raseinių seniūnija,Arškainiai,Arškainių kaimas,Algirdo gatvė
97,LIETUVOS RESPUBLIKA,Kauno apskritis,Prienų rajono savivaldybė,Veiverių seniūnija,Byliškės,Byliškių kaimas,Algirdų takas
98,LIETUVOS RESPUBLIKA,Kauno apskritis,Kauno rajono savivaldybė,Babtų seniūnija,Babtai,Babtų miestelis,Algupio gatvė
99,LIETUVOS RESPUBLIKA,Kauno apskritis,Kauno rajono savivaldybė,Babtų seniūnija,Piepaliai,Piepalių kaimas,Algupio gatvė
100,LIETUVOS RESPUBLIKA,Kauno apskritis,Kauno rajono savivaldybė,Domeikavos seniūnija,Varluva,Varluvos kaimas,Alkos gatvė
101,LIETUVOS RESPUBLIKA,Kauno apskritis,Prienų rajono savivaldybė,Ašmintos seniūnija,Alksniakiemis,Alksniakiemio kaimas,
102,LIETUVOS RESPUBLIKA,Kauno apskritis,Jonavos rajono savivaldybė,Dumsių seniūnija,Bulotai,Bulotų kaimas,Alksnių gatvė
103,LIETUVOS RESPUBLIKA,Kauno apskritis,Jonavos rajono savivaldybė,Jonavos miesto seniūnija,Jonava,Jonavos miestas,Alksnių gatvė
104,LIETUVOS RESPUBLIKA,Kauno apskritis,Jonavos rajono savivaldybė,Kulvos seniūnija,Mardošiškiai,Mardošiškių kaimas,Alksnių gatvė
