institution,elderate,city,street,numbers
Šakių rajono savivaldybė,,,,
Šakių rajono savivaldybė Barzdų seniūnija,,Ambrasų kaimas,,
Šakių rajono savivaldybė Barzdų seniūnija,,Baltrušių kaimas,Gėlių gatvė,
Šakių rajono savivaldybė Barzdų seniūnija,,Baltrušių kaimas,Lauko gatvė,
Šakių rajono savivaldybė Barzdų seniūnija,,Baltrušių kaimas,Saulės gatvė,
Šakių rajono savivaldybė Barzdų seniūnija,,Baltrušių kaimas,Sodų gatvė,
Šakių rajono savivaldybė Barzdų seniūnija,,Baltrušių kaimas,Stasio Lozoraičio gatvė,
Šakių rajono savivaldybė Barzdų seniūnija,,Baltrušių kaimas,Tylioji gatvė,
Šakių rajono savivaldybė Barzdų seniūnija,,Baltrušių kaimas,Žalioji gatvė,
Šakių rajono savivaldybė Barzdų seniūnija,,Barzdų miestelis,Bažnyčios gatvė,
Šakių rajono savivaldybė Barzdų seniūnija,,Barzdų miestelis,Kudirkos Naumiesčio gatvė,
Šakių rajono savivaldybė Barzdų seniūnija,,Barzdų miestelis,Mokyklos gatvė,
Šakių rajono savivaldybė Barzdų seniūnija,,Barzdų miestelis,Nepriklausomybės gatvė,
Šakių rajono savivaldybė Barzdų seniūnija,,Barzdų miestelis,Tujų gatvė,
Šakių rajono savivaldybė Barzdų seniūnija,,Barzdų miestelis,Vandupės gatvė,
Šakių rajono savivaldybė Barzdų seniūnija,,Barzdų miestelis,Vilties gatvė,
Šakių rajono savivaldybė Barzdų seniūnija,,Barzdų miestelis,Šakių gatvė,
Šakių rajono savivaldybė Barzdų seniūnija,,Buktiškių kaimas,Liepų gatvė,
Šakių rajono savivaldybė Barzdų seniūnija,,Buktiškių kaimas,Sūduvos gatvė,
Šakių rajono savivaldybė Barzdų seniūnija,,Buktiškių kaimas,Vasaros gatvė,
Šakių rajono savivaldybė Barzdų seniūnija,,Gerulių kaimas,,
Šakių rajono savivaldybė Barzdų seniūnija,,Gražiškių kaimas,,
Šakių rajono savivaldybė Barzdų seniūnija,,Kraujučių kaimas,,
Šakių rajono savivaldybė Barzdų seniūnija,,Kriaučiukų kaimas,,
