institution,elderate,city,street,numbers
Aušros rinkimų apygarda Nr. 23,,Šiaulių miestas,A. Mickevičiaus gatvė,"3-17 odd, 2-52 even, 19- odd"
Aušros rinkimų apygarda Nr. 23,,Šiaulių miestas,Alytaus gatvė,
Aušros rinkimų apygarda Nr. 23,,Šiaulių miestas,Alyvų gatvė,
Aušros rinkimų apygarda Nr. 23,,Šiaulių miestas,Anyksčių gatvė,
Aušros rinkimų apygarda Nr. 23,,Šiaulių miestas,Aukštoji gatvė,
Aušros rinkimų apygarda Nr. 23,,Šiaulių miestas,Aušros Tako gatvė,1- odd
Aušros rinkimų apygarda Nr. 23,,Šiaulių miestas,Aušros alėja,"55- odd, 82- even, 15-53 odd, 40-80 even, 5-13 odd"
Aušros rinkimų apygarda Nr. 23,,Šiaulių miestas,B. Sruogos gatvė,
Aušros rinkimų apygarda Nr. 23,,Šiaulių miestas,Baltupėnų gatvė,
Aušros rinkimų apygarda Nr. 23,,Šiaulių miestas,Bijotės gatvė,
Aušros rinkimų apygarda Nr. 23,,Šiaulių miestas,Birutės gatvė,"40- even, 2-38 even, 13- odd, 1-7 odd"
Aušros rinkimų apygarda Nr. 23,,Šiaulių miestas,Birštono gatvė,
Aušros rinkimų apygarda Nr. 23,,Šiaulių miestas,Biržų gatvė,
Aušros rinkimų apygarda Nr. 23,,Šiaulių miestas,Bubių gatvė,
Aušros rinkimų apygarda Nr. 23,,Šiaulių miestas,Dainavos Tako gatvė,"1, 4"
Aušros rinkimų apygarda Nr. 23,,Šiaulių miestas,Dainavos gatvė,
Aušros rinkimų apygarda Nr. 23,,Šiaulių miestas,Darbininkų gatvė,"32, 27- odd, 16, 1-25 odd"
Aušros rinkimų apygarda Nr. 23,,Šiaulių miestas,Darkiemio gatvė,
Aušros rinkimų apygarda Nr. 23,,Šiaulių miestas,Darželio gatvė,"1-19 odd, 2-26 even, 21- odd, 28- even"
Aušros rinkimų apygarda Nr. 23,,Šiaulių miestas,Dobilo gatvė,
Aušros rinkimų apygarda Nr. 23,,Šiaulių miestas,Draugystės prospektas,"1-17 odd, 2-12 even"
