institution,elderate,city,street,numbers
Dainų rinkimų apygarda Nr. 25,,Andrijavos kaimas,,
Dainų rinkimų apygarda Nr. 25,,Aukštelkės kaimas,,
Dainų rinkimų apygarda Nr. 25,,Beržynės kaimas,,
Dainų rinkimų apygarda Nr. 25,,Dainų kaimas,,
Dainų rinkimų apygarda Nr. 25,,Daušiškių kaimas,,
Dainų rinkimų apygarda Nr. 25,,Gegužių kaimas,,
Dainų rinkimų apygarda Nr. 25,,Juodinkių kaimas,,
Dainų rinkimų apygarda Nr. 25,,Juozapaičių kaimas,,
Dainų rinkimų apygarda Nr. 25,,Kuprių kaimas,,
Dainų rinkimų apygarda Nr. 25,,Kušlambalio kaimas,,
Dainų rinkimų apygarda Nr. 25,,Lieporių kaimas,,
Dainų rinkimų apygarda Nr. 25,,Pailių kaimas,,
Dainų rinkimų apygarda Nr. 25,,Paitaičių kaimas,,
Dainų rinkimų apygarda Nr. 25,,Pumpučių kaimas,,
Dainų rinkimų apygarda Nr. 25,,Raizgių kaimas,,
Dainų rinkimų apygarda Nr. 25,,Toliočių kaimas,,
Dainų rinkimų apygarda Nr. 25,,Verduliukų kaimas,,
Dainų rinkimų apygarda Nr. 25,,Verdulių kaimas,,
Dainų rinkimų apygarda Nr. 25,,Voveriškių kaimas,,
Dainų rinkimų apygarda Nr. 25,,Šlepkų kaimas,,
Dainų rinkimų apygarda Nr. 25,,Žaliūkių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,,Gruzdžių vs.,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,,Kuršėnų gst.,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,,Pavakalnio vs.,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,,Zigmantinės vs.,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,,Šėkščių vs.,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Adomiškių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Agailių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Akmenaičių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Aleksandrijos kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Alksnyniškės kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Amalių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Apušėlių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Apšrujų kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Arvydiškės kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Atuonių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Augučių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Auksučių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Aukštrakių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Aukštuolių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Aušraičių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Bacaičių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Bacionių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Bagdongirio kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Bagdoniškės kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Balsių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Bartkūnų kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Bartlaukės kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Baužų kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Bazilionų kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Bazilionų miestelis,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Beinoriškės kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Bernotų kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Bertužių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Beržtvų kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Bijūnėlių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Biručių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Biržių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Bitėnų kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Blužgalio kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Brazinskių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Braznavos kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Bridų kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Briešlaukio kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Bubių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Bulėnų kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Bunokiškių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Bunokiškės kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Burbinų kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Burkšų kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Butiškės kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Butkaičių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Bučiūnų kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Būdvydžių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Būdų kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Dakčių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Dapkūnų kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Dargaičių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Dargaudžių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Dargių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Daržiškių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Daubakiškių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Dauginčių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Daugmaudžių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Daugupio kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Daugėlaičių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Daugėlių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Daujočių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Daunorų kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Degulių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Dengtilčio kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Didlaukės kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Dimaičių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Dimšių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Dirvonėnų kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Dirvonų kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Diržių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Domantų kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Drąsučių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Dubikės kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Dubinių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Dvarlaukio kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Dvikapių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Dzidų kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Džiuikių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Egėliškių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Eidukių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Eimučių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Einoraičių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Felicinavos kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Gastyniškių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Gaudučių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Gaudžių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Gavėnaičių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Gedinčių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Gedvydžių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Gelžės kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Genžgirės kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Gergždelių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Geruogių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Gervėnų kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Gervėnų kaimas,Alyvų gatvė,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Gervėnų kaimas,Astrų gatvė,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Gervėnų kaimas,Beržų gatvė,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Gervėnų kaimas,Bijūnų gatvė,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Gervėnų kaimas,Bokšto gatvė,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Gervėnų kaimas,Pienių gatvė,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Gervėnų kaimas,Ramunių gatvė,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Gervėnų kaimas,Rugiagėlių gatvė,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Gervėnų kaimas,Rūtų gatvė,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Gervėnų kaimas,Topolių gatvė,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Gibaičių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Giedrių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Gilaičių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Gilvydžių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Gilvyčiukų kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Gilvyčių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Ginkūnų kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Girelės kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Girininkų kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Giriškių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Girkantų kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Girkautų kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Girlaukės kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Girnikų kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Girupės kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Gogiškių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Goriškės kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Gošteliškių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Grabijolų kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Graudūšių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Gražuolių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Griežiškių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Gruzdžių miestelis,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Gudelių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Gudmiškės kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Gurbų kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Gylių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Gūragių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Ilgosios Lovos kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Ilgviečių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Ivoškių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Jakutiškės kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Jakštaičiukų kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Jakštaičių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Jankaičių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Jauneikiškių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Jaunelių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Jokšių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Jokūbaičių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Jonelaičių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Judriškės kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Juozapavos kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Jurgaičių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Jurgeliškių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Jusaičių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Juškaičių I kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Juškaičių II kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Kadagynės kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Kadugių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Kairių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Kairių miestelis,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Kalniškių kaimas,,
Šiaulių kaimiškoji rinkimų apygarda Nr. 45,,Kalviškių kaimas,,
