institution,elderate,city,street,numbers
Šilalės rajono savivaldybė,,,,
Šilalės rajono savivaldybė Bijotų seniūnija,,Antininkų kaimas,Kražių gatvė,
Šilalės rajono savivaldybė Bijotų seniūnija,,Bardžių kaimas,,
Šilalės rajono savivaldybė Bijotų seniūnija,,Bijotų kaimas,Baublių gatvė,
Šilalės rajono savivaldybė Bijotų seniūnija,,Bijotų kaimas,Dionizo Poškos gatvė,
Šilalės rajono savivaldybė Bijotų seniūnija,,Bijotų kaimas,Malūno gatvė,
Šilalės rajono savivaldybė Bijotų seniūnija,,Bijotų kaimas,Muziejaus gatvė,
Šilalės rajono savivaldybė Bijotų seniūnija,,Bijotų kaimas,N. Paškevičiaus gatvė,
Šilalės rajono savivaldybė Bijotų seniūnija,,Cipkiškių kaimas,,
Šilalės rajono savivaldybė Bijotų seniūnija,,Daubos kaimas,,
Šilalės rajono savivaldybė Bijotų seniūnija,,Gedeikių kaimas,,
Šilalės rajono savivaldybė Bijotų seniūnija,,Girdiškės kaimas,A. Savicko gatvė,
Šilalės rajono savivaldybė Bijotų seniūnija,,Girdiškės kaimas,Bokšto gatvė,
Šilalės rajono savivaldybė Bijotų seniūnija,,Girdiškės kaimas,Dionizo Poškos gatvė,
Šilalės rajono savivaldybė Bijotų seniūnija,,Girdiškės kaimas,J. Mockaičio gatvė,
Šilalės rajono savivaldybė Bijotų seniūnija,,Girdiškės kaimas,J. Čerkeliausko gatvė,
Šilalės rajono savivaldybė Bijotų seniūnija,,Girdiškės kaimas,K. Andriukaičio gatvė,
Šilalės rajono savivaldybė Bijotų seniūnija,,Girdiškės kaimas,Karklotės gatvė,
Šilalės rajono savivaldybė Bijotų seniūnija,,Kalniškių kaimas,,
Šilalės rajono savivaldybė Bijotų seniūnija,,Kazokų kaimas,,
Šilalės rajono savivaldybė Bijotų seniūnija,,Klabų kaimas,,
Šilalės rajono savivaldybė Bijotų seniūnija,,Košių I kaimas,Karoblio gatvė,
Šilalės rajono savivaldybė Bijotų seniūnija,,Košių I kaimas,Kražių gatvė,
Šilalės rajono savivaldybė Bijotų seniūnija,,Košių II kaimas,,
Šilalės rajono savivaldybė Bijotų seniūnija,,Kumečių kaimas,,
Šilalės rajono savivaldybė Bijotų seniūnija,,Maldūnų kaimas,,
Šilalės rajono savivaldybė Bijotų seniūnija,,Mankiškės kaimas,,
Šilalės rajono savivaldybė Bijotų seniūnija,,Padvarių kaimas,,
Šilalės rajono savivaldybė Bijotų seniūnija,,Pagirdiškės kaimas,,
Šilalės rajono savivaldybė Bijotų seniūnija,,Pakarčemio kaimas,,
Šilalės rajono savivaldybė Bijotų seniūnija,,Palaimos kaimas,,
Šilalės rajono savivaldybė Bijotų seniūnija,,Palyženio kaimas,,
Šilalės rajono savivaldybė Bijotų seniūnija,,Pavėrių kaimas,,
Šilalės rajono savivaldybė Bijotų seniūnija,,Pilsūdų kaimas,,
Šilalės rajono savivaldybė Bijotų seniūnija,,Pliupių kaimas,,
Šilalės rajono savivaldybė Bijotų seniūnija,,Poškakaimio kaimas,Dvaro gatvė,
Šilalės rajono savivaldybė Bijotų seniūnija,,Poškakaimio kaimas,Parko gatvė,
Šilalės rajono savivaldybė Bijotų seniūnija,,Simėnų kaimas,,
Šilalės rajono savivaldybė Bijotų seniūnija,,Tūjainių kaimas,,
Šilalės rajono savivaldybė Bijotų seniūnija,,Vaidatonių kaimas,,
Šilalės rajono savivaldybė Bijotų seniūnija,,Šimkaičių kaimas,,
Šilalės rajono savivaldybė Bijotų seniūnija,,Šlapeikių kaimas,,
Šilalės rajono savivaldybė Bilionių seniūnija,,Aukštagirės kaimas,,
Šilalės rajono savivaldybė Bilionių seniūnija,,Baravykų kaimas,,
Šilalės rajono savivaldybė Bilionių seniūnija,,Baublių kaimas,,
Šilalės rajono savivaldybė Bilionių seniūnija,,Bilionių kaimas,Aukštagirės gatvė,
Šilalės rajono savivaldybė Bilionių seniūnija,,Bilionių kaimas,Rungio gatvė,
Šilalės rajono savivaldybė Bilionių seniūnija,,Bilionių kaimas,Sartalės gatvė,
Šilalės rajono savivaldybė Bilionių seniūnija,,Bilionių kaimas,Vampialaukio gatvė,
Šilalės rajono savivaldybė Bilionių seniūnija,,Bilionių kaimas,Švedkalnio gatvė,
Šilalės rajono savivaldybė Bilionių seniūnija,,Bilionių kaimas,Šventupuko gatvė,
Šilalės rajono savivaldybė Bilionių seniūnija,,Gulbių kaimas,,
Šilalės rajono savivaldybė Bilionių seniūnija,,Padvarninkų kaimas,,
Šilalės rajono savivaldybė Bilionių seniūnija,,Plunksnių kaimas,,
Šilalės rajono savivaldybė Bilionių seniūnija,,Stonių kaimas,,
Šilalės rajono savivaldybė Didkiemio seniūnija,,Didkiemio kaimas,Aušruvos gatvė,
Šilalės rajono savivaldybė Didkiemio seniūnija,,Didkiemio kaimas,Gerviškės gatvė,
Šilalės rajono savivaldybė Didkiemio seniūnija,,Didkiemio kaimas,Jūros gatvė,
Šilalės rajono savivaldybė Didkiemio seniūnija,,Didkiemio kaimas,Kaliksto Kasakausko gatvė,
Šilalės rajono savivaldybė Didkiemio seniūnija,,Didkiemio kaimas,Vartulio gatvė,
Šilalės rajono savivaldybė Didkiemio seniūnija,,Didkiemio kaimas,Žvejų gatvė,
Šilalės rajono savivaldybė Didkiemio seniūnija,,Gerviškės kaimas,,
Šilalės rajono savivaldybė Didkiemio seniūnija,,Kuiniškių kaimas,,
Šilalės rajono savivaldybė Didkiemio seniūnija,,Laumenų kaimas,,
Šilalės rajono savivaldybė Didkiemio seniūnija,,Pažiuržmočio kaimas,,
Šilalės rajono savivaldybė Didkiemio seniūnija,,Vartulėnų kaimas,,
Šilalės rajono savivaldybė Kaltinėnų seniūnija,,Bartašiškės kaimas,,
Šilalės rajono savivaldybė Kaltinėnų seniūnija,,Bartkiškės kaimas,,
Šilalės rajono savivaldybė Kaltinėnų seniūnija,,Burnių kaimas,,
Šilalės rajono savivaldybė Kaltinėnų seniūnija,,Butkaičių kaimas,,
Šilalės rajono savivaldybė Kaltinėnų seniūnija,,Dirgėlų kaimas,,
Šilalės rajono savivaldybė Kaltinėnų seniūnija,,Donylų kaimas,,
Šilalės rajono savivaldybė Kaltinėnų seniūnija,,Dvarčiaus kaimas,,
Šilalės rajono savivaldybė Kaltinėnų seniūnija,,Ganyprovos kaimas,,
Šilalės rajono savivaldybė Kaltinėnų seniūnija,,Gardiškės kaimas,,
Šilalės rajono savivaldybė Kaltinėnų seniūnija,,Gaudvaišų kaimas,,
Šilalės rajono savivaldybė Kaltinėnų seniūnija,,Gaučų kaimas,,
Šilalės rajono savivaldybė Kaltinėnų seniūnija,,Gedminiškės kaimas,,
Šilalės rajono savivaldybė Kaltinėnų seniūnija,,Gimbūčių kaimas,,
Šilalės rajono savivaldybė Kaltinėnų seniūnija,,Gineikių kaimas,Akmenos gatvė,
Šilalės rajono savivaldybė Kaltinėnų seniūnija,,Gineikių kaimas,D. Poškos gatvė,
Šilalės rajono savivaldybė Kaltinėnų seniūnija,,Gineikių kaimas,Rakutiškės gatvė,
Šilalės rajono savivaldybė Kaltinėnų seniūnija,,Iždonų kaimas,Aušrinės gatvė,
