institution,elderate,city,street,numbers
Šilalės-Šilutės rinkimų apygarda Nr. 33,,,Nautiltės vs.,
Šilalės-Šilutės rinkimų apygarda Nr. 33,,Akmeniškių kaimas,,
Šilalės-Šilutės rinkimų apygarda Nr. 33,,Alseikų kaimas,,
Šilalės-Šilutės rinkimų apygarda Nr. 33,,Antšyšių kaimas,,
Šilalės-Šilutės rinkimų apygarda Nr. 33,,Aušbikavio kaimas,,
Šilalės-Šilutės rinkimų apygarda Nr. 33,,Balčių kaimas,,
Šilalės-Šilutės rinkimų apygarda Nr. 33,,Bartininkų kaimas,,
Šilalės-Šilutės rinkimų apygarda Nr. 33,,Bikavėnų kaimas,,
Šilalės-Šilutės rinkimų apygarda Nr. 33,,Birbalų kaimas,,
Šilalės-Šilutės rinkimų apygarda Nr. 33,,Bliūdsukių kaimas,,
Šilalės-Šilutės rinkimų apygarda Nr. 33,,Brokorių kaimas,,
Šilalės-Šilutės rinkimų apygarda Nr. 33,,Budrikų kaimas,,
Šilalės-Šilutės rinkimų apygarda Nr. 33,,Buikiškės kaimas,,
Šilalės-Šilutės rinkimų apygarda Nr. 33,,Bumbuliškės kaimas,,
Šilalės-Šilutės rinkimų apygarda Nr. 33,,Būdviečių kaimas,,
Šilalės-Šilutės rinkimų apygarda Nr. 33,,Ciparių kaimas,,
Šilalės-Šilutės rinkimų apygarda Nr. 33,,Dargiškės kaimas,,
Šilalės-Šilutės rinkimų apygarda Nr. 33,,Degučių kaimas,,
Šilalės-Šilutės rinkimų apygarda Nr. 33,,Drebulių kaimas,,
Šilalės-Šilutės rinkimų apygarda Nr. 33,,Dulkiškės kaimas,,
Šilalės-Šilutės rinkimų apygarda Nr. 33,,Dėkintų kaimas,,
Šilalės-Šilutės rinkimų apygarda Nr. 33,,Eidaičių kaimas,,
Šilalės-Šilutės rinkimų apygarda Nr. 33,,Gailaičių kaimas,,
Šilalės-Šilutės rinkimų apygarda Nr. 33,,Galnės kaimas,,
Šilalės-Šilutės rinkimų apygarda Nr. 33,,Gardamo miestelis,,
Šilalės-Šilutės rinkimų apygarda Nr. 33,,Gedikų kaimas,,
Šilalės-Šilutės rinkimų apygarda Nr. 33,,Gedminaičių kaimas,,
Šilalės-Šilutės rinkimų apygarda Nr. 33,,Gečių kaimas,,
Šilalės-Šilutės rinkimų apygarda Nr. 33,,Gorainių kaimas,,
Šilalės-Šilutės rinkimų apygarda Nr. 33,,Grygališkės kaimas,,
Šilalės-Šilutės rinkimų apygarda Nr. 33,,Gudiškės kaimas,,
Šilalės-Šilutės rinkimų apygarda Nr. 33,,Ilgbrastės kaimas,,
Šilalės-Šilutės rinkimų apygarda Nr. 33,,Inkaklių kaimas,,
Šilalės-Šilutės rinkimų apygarda Nr. 33,,Jaunių kaimas,,
Šilalės-Šilutės rinkimų apygarda Nr. 33,,Jokšų kaimas,,
Šilalės-Šilutės rinkimų apygarda Nr. 33,,Jokūbiškės kaimas,,
Šilalės-Šilutės rinkimų apygarda Nr. 33,,Jomantų kaimas,,
Šilalės-Šilutės rinkimų apygarda Nr. 33,,Jonelių kaimas,,
Šilalės-Šilutės rinkimų apygarda Nr. 33,,Jonikų kaimas,,
Šilalės-Šilutės rinkimų apygarda Nr. 33,,Juodžių kaimas,,
Šilalės-Šilutės rinkimų apygarda Nr. 33,,Jurgaičių kaimas,,
Šilalės-Šilutės rinkimų apygarda Nr. 33,,Jurizdikos kaimas,,
Šilalės-Šilutės rinkimų apygarda Nr. 33,,Jurkaičių kaimas,,
Šilalės-Šilutės rinkimų apygarda Nr. 33,,Jurkiškės kaimas,,
