institution,elderate,city,street,numbers
Širvintų rajono savivaldybė,,,,
Širvintų rajono savivaldybė Alionių seniūnija,,Adolinos kaimas,,
Širvintų rajono savivaldybė Alionių seniūnija,,Alionių I kaimas,Bažnyčios gatvė,
Širvintų rajono savivaldybė Alionių seniūnija,,Alionių I kaimas,Jaunimo gatvė,
Širvintų rajono savivaldybė Alionių seniūnija,,Alionių I kaimas,Miško gatvė,
Širvintų rajono savivaldybė Alionių seniūnija,,Alionių I kaimas,Mokyklos gatvė,
Širvintų rajono savivaldybė Alionių seniūnija,,Alionių I kaimas,Naujakurių gatvė,
Širvintų rajono savivaldybė Alionių seniūnija,,Alionių I kaimas,Sodų gatvė,
Širvintų rajono savivaldybė Alionių seniūnija,,Alionių II kaimas,,
Širvintų rajono savivaldybė Alionių seniūnija,,Arliškių kaimas,,
Širvintų rajono savivaldybė Alionių seniūnija,,Bajorų kaimas,,
Širvintų rajono savivaldybė Alionių seniūnija,,Bakaniškių viensėdis,,
Širvintų rajono savivaldybė Alionių seniūnija,,Boruvkos kaimas,,
Širvintų rajono savivaldybė Alionių seniūnija,,Būdos kaimas,,
Širvintų rajono savivaldybė Alionių seniūnija,,Cegelnės viensėdis,,
Širvintų rajono savivaldybė Alionių seniūnija,,Diskavos viensėdis,,
Širvintų rajono savivaldybė Alionių seniūnija,,Drazdiškių viensėdis,,
Širvintų rajono savivaldybė Alionių seniūnija,,Gakos kaimas,,
Širvintų rajono savivaldybė Alionių seniūnija,,Gervėčių kaimas,,
Širvintų rajono savivaldybė Alionių seniūnija,,Joniškio viensėdis,,
Širvintų rajono savivaldybė Alionių seniūnija,,Jonių kaimas,,
Širvintų rajono savivaldybė Alionių seniūnija,,Juodiškių kaimas,Giedraičių gatvė,
Širvintų rajono savivaldybė Alionių seniūnija,,Juodiškių kaimas,Lazdynų gatvė,
Širvintų rajono savivaldybė Alionių seniūnija,,Juodiškių kaimas,Liepų gatvė,
Širvintų rajono savivaldybė Alionių seniūnija,,Juodiškių kaimas,Magūnų gatvė,
Širvintų rajono savivaldybė Alionių seniūnija,,Juodkų kaimas,,
Širvintų rajono savivaldybė Alionių seniūnija,,Krašienos kaimas,,
Širvintų rajono savivaldybė Alionių seniūnija,,Kvakšių kaimas,,
Širvintų rajono savivaldybė Alionių seniūnija,,Magūnų kaimas,,
Širvintų rajono savivaldybė Alionių seniūnija,,Maišelių kaimas,,
Širvintų rajono savivaldybė Alionių seniūnija,,Markūnų viensėdis,,
Širvintų rajono savivaldybė Alionių seniūnija,,Mickonių kaimas,,
Širvintų rajono savivaldybė Alionių seniūnija,,Miegučių kaimas,,
Širvintų rajono savivaldybė Alionių seniūnija,,Narūniškių viensėdis,,
Širvintų rajono savivaldybė Alionių seniūnija,,Nugarų viensėdis,,
Širvintų rajono savivaldybė Alionių seniūnija,,Ožiškių kaimas,,
Širvintų rajono savivaldybė Alionių seniūnija,,Pagirių kaimas,,
Širvintų rajono savivaldybė Alionių seniūnija,,Pajuodžių kaimas,,
Širvintų rajono savivaldybė Alionių seniūnija,,Palkių kaimas,,
Širvintų rajono savivaldybė Alionių seniūnija,,Paluknės kaimas,,
Širvintų rajono savivaldybė Alionių seniūnija,,Pamusės kaimas,,
Širvintų rajono savivaldybė Alionių seniūnija,,Pokiškių kaimas,,
Širvintų rajono savivaldybė Alionių seniūnija,,Ramaškonių kaimas,,
