institution,elderate,city,street,numbers
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Agurjanovkos vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Antaviešės vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Antašaminės vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Apkartų vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Augustavo vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Aukštosios vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Ažumiškės I vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Ažumiškės II vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Ažuraisčio vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Baikovščiznos vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Bajoriškės vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Baldoniškės vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Balevičių vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Baltadvario vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Bavainiškės vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Beržinkų vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Bielionių vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Bildų vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Biržiškių vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Bliūdelių vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Bronislavavo vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Cegelnios vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Cemnukos vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Daraičių vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Darinės vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Daubariškės vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Degutiškės vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Domininkavo vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Dėlynės vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Gančerių vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Jadluvkos vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Janiūnų vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Janutiškės vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Jasiūnų vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Jaunadario vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Jaurų vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Joneliškės vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Joniškės vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Jukiškės vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Juodynėlio vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Juozapavo vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Justiniškės vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Kampinių vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Kampuotėlės vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Karalinavo vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Karklinkos vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Karklinės vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Kirtikų vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Kisieliškės vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Konstantinavo vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Kretuonėlės vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Kurniškės vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Laimiškės vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Laukiankos vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Liūlinės vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Lobinės vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Lugių vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Malinovkos vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Maliūniškės vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Margiškės vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Margumiškio vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Maselščiznos vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Medišionių vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Michalinavo vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Miciūniškės vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Milaukos vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Mineliškės vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Moliniškės vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Naujadalio vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Naujiniškės vs.,
Ignalinos-Švenčionių rinkimų apygarda Nr. 53,,,Naujos Pašaminės vs.,
